,dt,city.name,weather,main.temp,main.pressure,main.humidity,wind.speed,wind.deg,dis
30,2022-07-27 11:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",35.64000000000004,1008,45,1.31,210,221.25
31,2022-07-27 14:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",37.110000000000014,1005,38,2.45,219,221.25
32,2022-07-27 17:00:00,Longyan,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",26.920000000000016,1007,82,2.54,56,221.25
33,2022-07-27 20:00:00,Longyan,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",24.900000000000034,1008,87,0.81,72,221.25
34,2022-07-27 23:00:00,Longyan,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",24.260000000000048,1009,87,1.15,56,221.25
35,2022-07-28 02:00:00,Longyan,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",23.950000000000045,1008,84,0.37,111,221.25
36,2022-07-28 05:00:00,Longyan,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",23.52000000000004,1008,85,0.4,158,221.25
37,2022-07-28 08:00:00,Longyan,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",28.33000000000004,1009,73,0.47,179,221.25
38,2022-07-28 11:00:00,Longyan,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",35.08000000000004,1007,47,1.27,221,221.25
39,2022-07-28 14:00:00,Longyan,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",36.28000000000003,1005,43,1.49,213,221.25
